1. Lionel Messi (Argentin, Attaquant, 33 ans, Peau claire, FC Barcelone, Espagne)
2. Cristiano Ronaldo (Portugais, Attaquant, 35 ans, Peau claire, Juventus FC, Italie)
3. Neymar Jr. (Brésilien, Attaquant, 28 ans, Peau foncée, Paris Saint-Germain, France)
4. Eden Hazard (Belge, Milieu offensif, 29 ans, Peau claire, Real Madrid, Espagne)
5. Paul Pogba (Français, Milieu de terrain, 27 ans, Peau foncée, Manchester United, Angleterre)
6. Sergio Ramos (Espagnol, Défenseur, 35 ans, Peau claire, Real Madrid, Espagne)
7. Luka Modrić (Croate, Milieu de terrain, 34 ans, Peau claire, Real Madrid, Espagne)
8. Robert Lewandowski (Polonais, Attaquant, 32 ans, Peau claire, Bayern Munich, Allemagne)
9. Mohamed Salah (Égyptien, Attaquant, 28 ans, Peau foncée, Liverpool FC, Angleterre)
10. Antoine Griezmann (Français, Attaquant, 29 ans, Peau claire, FC Barcelone, Espagne)
11. Luis Suárez (Uruguayen, Attaquant, 33 ans, Peau foncée, FC Barcelone, Espagne)
12. Manuel Neuer (Allemand, Gardien de but, 34 ans, Peau claire, Bayern Munich, Allemagne)
13. Kylian Mbappé (Français, Attaquant, 21 ans, Peau foncée, Paris Saint-Germain, France)
14. Kevin De Bruyne (Belge, Milieu de terrain, 28 ans, Peau claire, Manchester City, Angleterre)
15. Karim Benzema (Français, Attaquant, 32 ans, Peau foncée, Real Madrid, Espagne)
16. Thibaut Courtois (Belge, Gardien de but, 27 ans, Peau claire, Real Madrid, Espagne)
17. Marco Reus (Allemand, Milieu offensif, 30 ans, Peau claire, Borussia Dortmund, Allemagne)
18. Harry Kane (Anglais, Attaquant, 26 ans, Peau claire, Tottenham Hotspur, Angleterre)
19. Toni Kroos (Allemand, Milieu de terrain, 30 ans, Peau claire, Real Madrid, Espagne)
20. Romelu Lukaku (Belge, Attaquant, 27 ans, Peau foncée, Inter Milan, Italie)
21. Edinson Cavani (Uruguayen, Attaquant, 33 ans, Peau foncée, Paris Saint-Germain, France)
22. David De Gea (Espagnol, Gardien de but, 28 ans, Peau claire, Manchester United, Angleterre)
